"Site
#",School,Date,Time,"Creek
Appearance","Weather  (past 48
hr)",Stage (m),"Discharge
(m3
s)",Other tests,"Sulfate
(mg
L)","Flow  (m
s)","Temp. (deg
C)","pH
Meter","TDS
(mg
L)","DO
(mg
L)","NO3-N
(mg
L)","P (mg
L)","Alk
(mg
L)","Turb
(JTU)","Fe
(mg
L)","WQI
value","Conductivity
(uS
cm)","pH
Test
Kit"
76,"Maplewood
Elementary",2008-04-15,.,"Clear and Freely
runni",Rainy,NA,NA,NA,NA,NA,5,8,.,15,0.19,0.0267,59.5,0,.,.,.,.
64,"Titusville Middle
School",2008-04-17,.,Clear,Clear,normal,NA,NA,NA,NA,10,7.1,70,13,0.45,10,34,25,.,163.6,.,.
2,Bethesda Home,2008-05-13,.,clear,Rain,normal,NA,NA,NA,normal,10,7.7,75,9.5,0.5,3,12.5,2.5,.,55.45,.,.
58,"Maplewood
High School",2008-06-05,.,turbid,Heavy Rain,normal,NA,"Total Hardness: 68.4
Calcium Hardness:34.2 Ma",NA,NA,11,7.3,40,9,0,0,40.8,10,.,7.3,.,.
37,"Conneaut Valley
High Schoo",2008-07-09,.,brown,Heavy Rain,high,NA,NA,NA,NA,22.3,8.45,70,10.5,0,0.01,68,5,.,11.4,.,.
37,"Conneaut Valley
High Schoo",2008-07-16,.,"clear, slow",Sunny,normal,NA,NA,NA,NA,22.5,8.9,120,12,0,0,85,0,.,12.8,.,.
37,"Conneaut Valley
High Schoo",2008-08-25,.,cloudy,light rain,low,NA,NA,NA,NA,17.8,8.5,240,9,.,0,119,10,.,.,.,.
20,"Fort LeBoeuf
High School",2008-09-07,.,"cloudy, slow",Rainy,NA,NA,Hardness: 342,NA,NA,20.3,8.3,80,17.5,0.175,0,127.5,2.5,.,6.4,.,.
19,Clymer Central,2008-09-12,.,"Low, Dry","Overcast, Sprinkles",NA,NA,NA,NA,NA,20,7.8,210,8.7,1.5,0.03,85,1,.,21.96,.,.
20,"Fort LeBoeuf
High School",2008-09-14,.,"brown, flowing,
rippli","rain, wind, sun",NA,NA,Hardness: 171,NA,NA,25.7,8,70,13.5,0,0,68,10,.,6.55,.,.
7,"Allegheny
College",2008-09-16,.,"swift, clear",fair,NA,NA,NA,NA,NA,21.5,7.9,100,9.5,0,0.056,51,5,.,8.39,.,.
20,"Fort LeBoeuf
High School",2008-09-18,.,"slow flow, clear",sunny,NA,NA,Hardness: 205.1,NA,NA,20.8,9,80,16,0,0.015,93.5,10,.,13.025,.,.
26,"Meadville
Middle School",2008-09-18,.,"not running, pools
onl",sunny and warm,low,NA,NA,NA,NA,21,7.3,120,7,135,0,110.5,0,.,1356.7,.,.
2,Bethesda,2008-09-23,.,"low, slow","sunny, cold",NA,NA,NA,NA,NA,15,7.6,110,9.5,1,0.03,144.5,0,.,14.6,.,.
2,Bethesda,2008-09-23,.,clear,"sunny, cold",NA,NA,NA,NA,NA,15,7.55,110,9.5,1.25,5,8.5,0,.,91.25,.,.
2,Bethesda,2008-09-23,.,clear,high 70s/low50s,NA,NA,NA,NA,NA,15,7.6,110,9.5,1,0.03,144.5,0,.,14.6,.,.
28,"Fort LeBoeuf
High School",2008-09-23,.,average,"nice, sunny",NA,NA,Hardness: 333.45,NA,NA,18.15,8.6,85,11,0,0.035,110.5,10,.,13.625,.,.
39,"James W.
Parker Middle
Sch",2008-09-23,.,"slow, clear",sunny,NA,NA,NA,5,NA,12.5,8.1,125,9.5,0.28,0.014,161.5,12.5,.,13.66,.,.
62,"Linesville High
School",2008-09-23,.,somewhat turbid,"sunny, warm",0.13,NA,NA,NA,0.22,15.5,7,180,9,0.7,0.09,102,10,.,18.05,.,.
77,"Linesville High
School",2008-09-23,.,Turbid,"sunny, warm",NA,NA,NA,NA,NA,18.4,8.2,80,9,0.84,0.26,85,25,.,26.6,.,.
77,"Linesville High
School",2008-09-23,.,somewhat turbid,"sunny, warm",0.50,NA,NA,NA,0.01,12.4,7.4,140,8,0.16,0.05,102,10,.,9.55,.,.
78,"Linesville High
School",2008-09-23,.,somewhat turbid,"sunny, warm",0.83,NA,NA,NA,0.01,13.9,7.6,150,7,0.52,0.05,102,10,.,13.85,.,.
83,Sherman,2008-09-23,.,"slow, clear",clear,normal,NA,NA,NA,NA,20.3,7.7,130,10.5,0,0.045,144.5,0,.,4.925,.,.
83,Sherman,2008-09-23,.,slow,sunny,normal,NA,NA,NA,NA,17.2,7.3,140,7.5,0.03,0.02,85,5,.,7.95,.,.
28,"Fort LeBoeuf
High School",2008-09-26,.,"standing water,
clear","clear, no precip.",NA,NA,Hardness: 299.25,NA,NA,14.15,7.55,110,10,0.065,0,59.5,2.5,.,4.55,.,.
47,Youngsville HS,2008-09-26,.,"clear, laminar flow","clear, cool, dry",NA,NA,NA,NA,NA,18,8.5,130,12,0,0,119,4,.,10.4,.,.
68,"Jamestown
Elementary",2008-09-29,.,murky,"rain, cloudy",NA,NA,NA,NA,NA,13,7.8,145,4.5,0.78,0.006735,187,25,.,22.151025,.,.
82,"Hillview
Intermediate:
Gro",2008-09-30,.,"brown, average
speed",rain,NA,NA,NA,NA,NA,17,8.1,215,7,0.07,0.033,187,6.5,.,12.395,.,.
19,Clymer Central,2008-10-01,.,"High, Fast",Heavy Rain,NA,NA,NA,NA,NA,11,7.7,190,9.2,1.2,0.11,94,1,.,19.01,.,.
66,"Mercer
Elementary",2008-10-04,.,clear and flowing,"sunny, cool, rain",NA,NA,NA,NA,NA,15,7.7,135,7.5,0,0.023,94,7.5,.,8.195,.,.
27,"Allegheny
College",2008-10-07,.,"fast, clear","cloudy, cool",NA,NA,NA,NA,NA,16,8.25,70,5,0,0,51,40,.,20.5,.,.
61,"Saegertown
High School",2008-10-07,.,NA,"cold, frost",NA,NA,NA,NA,NA,10.5,7.2,160,9,0,0,0,0,.,6.1,.,.
61,"Saegertown
High School",2008-10-07,.,NA,"cool, frost",NA,NA,NA,NA,NA,9,7.35,170,10.5,0,0,0,0,.,3.85,.,.
61,"Saegertown
High School",2008-10-07,.,NA,"cool, frost",NA,NA,NA,NA,NA,8.5,7.2,180,12,0,0,0,10,.,6,.,.
47,"Youngsville
Middle School",2008-10-09,.,"slow flow, clear","rainy, cold",NA,NA,NA,5,NA,18.5,8.4,110,9,0.28,41,394.5,.,.,.,.,.
79,"Linesville High
School",2008-10-10,.,moderate,warm,NA,NA,NA,"under
50",NA,14,7.8,130,7.5,0.065,0,144.5,7.5,.,9.3,.,.
28,"Fort LeBoeuf
High School",2008-10-13,.,normal,Drizzling,NA,NA,Hardness: 273.6,NA,NA,16.55,8.2,20,15,0.1375,0,110.5,7.5,.,7.975,.,.
15,"Conneaut Lake
High School",2008-10-15,.,"clear and cloudy
with",cloudy,low,NA,NA,<50,NA,11.5,8.15,140,10,0.15,0.03,94,5,0.165,11.15,.,.
15,"Conneaut Lake
High School",2008-10-15,.,"clear and cloudy
with",cloudy,low,NA,NA,<50,NA,11,8.1,140,7,.,0.03,25.5,10,0.025,.,.,.
15,"Conneaut Lake
High School",2008-10-15,.,clear,"cloudy, rain",low,NA,NA,<50,NA,11,7.95,120,5,0.1,0.059,51,.,0.21,.,.,.
15,"Conneaut Lake
High School",2008-10-15,.,NA,cloudy,low,NA,NA,<50,NA,12,7.55,.,7,.,0.024,.,.,0.3,.,.,.
39,"James W.
Parker Middle
Sch",2008-10-15,.,"slow, clear","clear, no precip.",normal,NA,NA,NA,NA,10,8.2,90,9.5,0,0.0067,178.5,0,.,9.0505,.,.
47,"Youngsville
Middle School",2008-10-15,.,Low,warm and sunny,NA,NA,NA,NA,NA,19,7.6,125,8,0.18,.,125,7.5,.,.,.,.
83,Sherman,2008-10-15,.,clear,rain,normal,NA,NA,NA,NA,18.4,7.7,130,13,0,0,85,0,.,2.5,.,.
26,"Meadville
Middle School",2008-10-16,.,"running, clear light
b",rain,normal,NA,NA,NA,NA,17,7.3,120,7.5,135,0,113,0,.,1356.35,.,.
58,"Maplewood
High School",2008-10-16,.,"moderate flow,
clear","rain, drizzle",NA,NA,NA,NA,NA,14,6.9,70,6,0,0,68,5,.,11.6,.,.
62,"Linesville High
School",2008-10-21,.,"flowing, turbid",cloudy and cold,normal,NA,NA,NA,NA,12.3,7.9,180,9,0.7,0.09,102,10,.,17.25,.,.
75,"Commodore
Perry",2008-10-21,.,"clear, no
movement",Raining,NA,NA,NA,NA,NA,10,7.2,115,9,0,0.04,85,5,.,7.7,.,.
77,"Linesville High
School",2008-10-21,.,"turbid, small
waves",cloudy and cold,NA,NA,NA,NA,NA,13.2,8.2,70,9.3,0.84,0.26,85,30,.,27.39,.,.
78,"Linesville High
School",2008-10-21,.,somewhat turbid,cloudy and cold,0.50,NA,NA,NA,0.05,9.4,7.5,140,8,0.14,0.05,102,10,.,8.55,.,.
79,"Linesville High
School",2008-10-21,.,somewhat turbid,cloudy and cold,0.60,NA,NA,NA,0.05,10.3,7.8,130,8.5,0.48,0.046,102,10,.,13.94,.,.
47,"Youngsville
Middle School",2008-10-23,.,cold,sunny but cold,NA,NA,NA,NA,NA,15,6.1,130,10,0.1,35,0,1.5,.,540.5,.,.
47,Youngsville HS,2008-10-23,.,"laminar flow rate,
cle","clear, cool, flurries",NA,NA,NA,NA,NA,6,8,125,10,0,0,187,2.5,.,7.5,.,.
1,"Maplewood
High School",2008-10-28,.,"clear, normal","Cold, precip.",NA,NA,"Total Hardness: 68.4
Calciu",NA,NA,8,7.35,65,11,0.0125,0.03,42.5,2.5,.,4.575,.,.
19,Clymer Central,2008-10-31,.,normal,"sunny, mild temp",normal,NA,"E.coli: 0 colonies/100mL
BOD 3.9 ppm",NA,NA,6,7.5,120,12.8,1.5,0,60,1,.,16.24,.,.
75,"Commodore
Perry",2008-11-04,.,flowing,NA,low,NA,NA,NA,NA,10,7.7,120,11.5,0,0,93.5,0,.,3.55,.,.
82,"Hillview
Intermediate:
Gro",2008-11-04,.,"flowing quickly,
clear",warmer than normal,high,NA,NA,NA,NA,13.5,8.1,185,10.5,0.25,0.016,178.5,5,.,11.19,.,.
61,"Saegertown
High School",2008-11-05,.,NA,warmer than usual,NA,NA,NA,0,NA,17.5,7.2,110,11.5,0,0,34,0,0,4.35,.,.
61,"Saegertown
High School",2008-11-05,.,NA,warmer than usual,NA,NA,NA,0,NA,18,7.3,105,12,0,0,0,0,0,3.2,.,.
61,"Saegertown
High School",2008-11-05,.,NA,warmer than usual,NA,NA,NA,0,NA,16.5,7.15,110,12,0,0,51,0,0,4.4,.,.
83,Sherman,2008-11-05,.,murky,rain,normal,NA,NA,NA,NA,16.8,7.6,115,7,0,0.001,51,0,.,5.915,.,.
83,Sherman,2008-11-05,.,"slow, clear",sunny,normal,NA,NA,NA,NA,17.4,7.7,110,11,0,0.015,127.5,25,.,9.125,.,.
47,"Youngsville
Middle School",2008-11-06,.,,,,,,NA,,10,7,100,8,0,27,25,0,.,413.4,.,.
83,Sherman,2008-11-06,.,normal,sunny,normal,NA,NA,NA,NA,14.5,7.7,105,13.5,0,0.018,68,0,.,2.42,.,.
66,"Mercer
Elementary",2008-11-08,.,clear and flowing,sprinkling,NA,NA,NA,NA,NA,10,7.95,130,4.5,0,0.01,127.5,5,.,11.6,.,.
72,"Hermitage
School District",2008-11-11,.,NA,NA,NA,NA,NA,NA,NA,7,8.9,410,16,0,0,136,0,.,10,.,.
72,"Hermitage
School District",2008-11-11,.,NA,NA,NA,NA,NA,NA,NA,6,7.2,340,.,1,0,161.5,0,.,.,.,.
2,Bethesda,2008-11-14,.,clear,high 60s/low 40s,low,NA,NA,NA,NA,9.5,7.5,100,.,0,7.5,136,0,.,.,.,.
7,"Allegheny
College",2008-11-18,.,NA,NA,NA,NA,NA,NA,NA,5.5,7.25,90,13,0,0,85,87.5,.,20.4,.,.
62,"Linesville High
School",2008-11-18,.,"freely flowing
somewha",cold light snow,0.14,NA,NA,NA,0.29,9.1,7.8,80,9,0.22,0.09,51,5,.,10.65,.,.
77,"Linesville High
School",2008-11-18,.,"Waves less than
ft wa","lt. Snow, cold, lt
winds",NA,NA,NA,NA,NA,9.4,7.8,80,10,0.34,0.05,68,20,.,13.55,.,.
78,"Linesville High
School",2008-11-18,.,"low flow and
turbid",cloudy cold lt snow,0.55,,,NA,0.07,8.4,7.3,70,9,0.02,0.03,51,5,.,6.95,.,.
79,"Linesville High
School",2008-11-18,.,"freely flowing
turbid","cloudy, cold. Light
snow",0.57,NA,NA,NA,0.27,8.9,7.8,90,10,0.04,0.05,51,5,.,39.3,.,.
41,"Cambridge
Springs High
Sch",2008-11-19,.,"cloudy, high","rain, snow",NA,NA,NA,NA,NA,3,7.1,105,9,0.42,0,93,10,.,13.1,.,.
64,"Titusville Middle
School",2008-11-19,.,normal,light snow,NA,NA,NA,NA,NA,12.5,7.25,85,8.5,0,0,51,12.5,.,8.55,.,.
47,Youngsville HS,2008-11-25,.,"clear, slow","cold, snowy",NA,NA,NA,NA,NA,8,7.2,.,15,0.4,0.01,170,0,.,.,.,.
75,"Commodore
Perry",2008-11-25,.,NA,NA,NA,NA,NA,NA,NA,6.5,7.1,115,13,0.4,0.013,68,10,.,10.295,.,.
75,"Commodore
Perry",2008-11-25,.,NA,NA,NA,NA,NA,NA,NA,6.5,7.4,80,7,24,0.006,51,10,.,247.99,.,.
83,Sherman,2008-11-25,.,NA,rain/snow,NA,NA,NA,NA,NA,16.4,7.5,75,11,0.005,0.03,102,5,.,3.8,.,.
80,"Fort LeBoeuf
Middle School",2008-11-26,.,"fast, clear",snow,NA,NA,NA,<50,NA,3,8.1,90,10.5,0.1,17.4,102,7.5,.,270.95,.,.
19,Clymer Central,2008-11-30,.,cold/snow/frozen,"very cold, heavy
snow",low,NA,E. Coli  200 col/100mL,NA,NA,3,7.6,110,12.5,1.15,0.05,60,1,.,14.5,.,.
1,"Maplewood
High School",2008-12-02,.,"Fast, Deep","Cold, Snow/rain",NA,NA,NA,NA,NA,2.5,7.15,45,10,0.1,0.125,51,2.5,.,9.175,.,.
40,"James w.
Parker Middle
Sch",2008-12-04,.,faster and turbid,rain,NA,NA,NA,NA,NA,1,6.95,100,14,0.099,0.0135,68,7.5,.,7.2925,.,.
75,"Commodore
Perry",2008-12-09,.,frozen,snow,NA,NA,NA,NA,NA,4,7.45,155,15,0.01,0.009,68,5,.,1.135,.,.
39,"James W.
Parker Middle
Sch",2008-12-14,.,"fast, turbid",rain,NA,NA,NA,NA,Na,2,7.2,50,9.5,0.02,0.0135,68,12.5,.,8.6525,.,.
28,"Fort LeBoeuf
High School",2008-12-15,.,"murky, brown",constant rain,NA,NA,NA,NA,NA,4,7.75,0,12,0.125,0,85,5,.,5.85,.,.
64,"Titusville Middle
School",2008-12-17,.,cloudy,"rain,large snow melt",NA,NA,NA,NA,NA,1,7.2,60,6,0,0,59.5,37.5,.,15.7,.,.
47,Youngsville HS,2008-12-23,.,clear,cold,NA,NA,NA,NA,NA,3,8,.,11,0.2,0.5,204,20,.,.,.,.
1,"Maplewood
High School",2009-01-06,.,clear,"cold, clear",normal,NA,Hardness: 34.2,NA,NA,1,7.1,30,15,0,0,34,0,.,2.7,.,.
82,"Hillview
Intermediate:
Gro",2009-01-06,.,"Swift, clear, frozen
i",cold and clear,normal,NA,NA,NA,NA,3,8.4,145,12.5,0.02,0.06,141,5,.,10.55,.,.
19,Clymer Central,2009-01-09,.,frozen over,"cold, snow",low,NA,"E.Coli: 100 col/100mL
BOD 4.8 ppm",NA,NA,3,7.5,130,13.4,1.6,0.06,60,1,.,17.72,.,.
64,"Titusville Middle
School",2009-01-14,.,cloudy,snow,NA,NA,NA,NA,NA,0,6.75,80,12,0.5,0,102,12.5,.,15.1,.,.
75,"Commodore
Perry",2009-01-20,.,NA,NA,NA,NA,NA,NA,NA,2,8.1,155,8,1,0,85,7.5,.,20.7,.,.
87,"Bradford Area
High School",2009-01-22,3:30:00,thin ice,"ice, rain",low,NA,NA,NA,NA,1,6.8,40,13.5,0.1,0,51,0,.,7.55,.,.
83,Sherman,2009-01-23,.,normal,"light snow, cold",normal,NA,NA,NA,NA,6.8,7.5,75,14.5,0.25,5.5,102,5,.,85.85,.,.
84,"Lakeview
School District",2009-01-26,.,NA,cold,NA,NA,NA,NA,NA,18,.,85,13,0.275,0.033,85,7.5,.,.,.,.
39,"James W.
Parker Middle
Sch",2009-01-28,.,slow and slushy,"light snow, cold",NA,NA,NA,NA,NA,1.5,7.17,14,0.6,0.03,204,20,.,.,.,.,.
2,Bethesda,2009-01-29,.,Frozen,Snow,NA,NA,NA,NA,NA,1,7.1,75,14,3,0.35,110.5,5,.,39.65,.,.
72,"Hermitage
School District",2009-01-29,.,NA,NA,NA,NA,NA,NA,NA,9,.,595,11,0.3,0.06,110.5,0,.,.,.,.
19,Clymer Central,2009-02-04,.,frozen over,very cold,low,,"E.Coli: 1 col/100mL
BOD 7.2 ppm",NA,NA,2,7.8,160,16.5,1.8,0.1,60,1,.,20.55,.,.
1,"Maplewood
High School",2009-02-10,.,turbid and high,"warm, snow melting",NA,NA,"Calcium Hardness: 68.4
Bromthymol Blue pH:",NA,NA,0.5,7.1,30,15,0,0,17,20,.,6.7,.,.
75,"Commodore
Perry",2009-02-10,.,NA,"Rainy, Murky",NA,NA,NA,NA,NA,3,7.55,115,14,0.4,0.7,34,30,.,21.1,.,.
75,"Commodore
Perry",2009-02-10,.,NA,NA,NA,NA,NA,NA,NA,19,7.2,140,6.5,0.8,0.2,76.5,20,.,22.85,.,.
39,"James W.
Parker Middle
Sch",2009-02-18,.,NA,NA,NA,NA,NA,NA,NA,1,7.95,55,10.5,0.01,0.0135,68,7.5,.,8.0525,.,.
84,"Lakeview
School District",2009-02-22,.,"normal, clear","cold, snow",,,,NA,,0,7.35,70,16,0.2,0,68,0,.,2,.,.
19,Clymer Central,2009-02-27,.,"high with melting
ice",Heavy Rain,high,NA,"E. Coli  2 col/100mL, BOD
4.3 ppm",NA,NA,2,7.7,125,13.2,0.3,0.08,60,2.5,.,7.06,.,.
80,"Fort LeBoeuf
Middle School",2009-02-27,.,"fast, more brown
that","40s & 50s, rainy",higher,NA,NA,<50,fast,5,8.45,82.5,15.5,0.15,0,110.5,17.5,.,11.75,.,.
2,Bethesda,2009-03-05,.,"clear, partially
froze",clear,high,NA,NA,NA,NA,3,7.5,50,15,0,0.04,34,5,.,1.1,.,.
75,"Commodore
Perry",2009-03-10,.,NA,NA,NA,NA,NA,NA,NA,18,7,110,14,.,0,42.5,16.5,.,.,.,.
75,"Commodore
Perry",2009-03-10,.,"High, Fast, Cloudy",NA,NA,NA,NA,NA,NA,7,8.2,130,8.5,17,.,4.5,20,.,.,.,.
41,"Cambridge
Springs High
Sch",2009-03-12,.,"muddy, flooding",heavy rain,NA,NA,NA,NA,fast,4,7.5,55,12.5,0.27,0,98.5,15,.,6.95,.,.
84,"Lakeview
School District",2009-03-23,.,NA,"cold, clear",NA,NA,NA,NA,NA,21.5,5.9,10,8.5,0.06,0.12,65,10,.,.,.,.
15,"Conneaut Lake
High School",2009-03-25,.,cool,clear and cool,low,NA,NA,<50,NA,2,7.75,80,11.5,0.1,0.023,85,5,0.02,6.295,.,.
82,"Hillview
Intermediate:
Gro",2009-03-31,.,clear and fast,"some snow and
rain, warm",high,NA,NA,NA,NA,8,8.3,110,13.5,.,.,.,.,.,.,.,.
2,Bethesda,2009-04-04,.,merky,rain,normal,NA,NA,NA,NA,8.5,7.65,60,12,0.5,0.5,102,5,.,16.3,.,.
15,"Conneaut Lake
High School",2009-04-15,.,clear,NA,normal,NA,NA,50,NA,9.5,7.6,70,5.5,0.13,0.001,51,.,.,.,.,.
15,"Conneaut Lake
High School",2009-04-15,.,clear,NA,normal,NA,NA,50,NA,6.5,7.5,70,8.5,0,0.02,17,.,0.28,.,.,.
82,"Hillview
Intermediate:
Gro",2009-04-21,.,"brown fast and
high",heavy rain,high,NA,NA,NA,NA,10.5,8.2,115,10,0.1255,.,110.5,25,.,.,.,.
19,Clymer Central,2009-04-22,.,cold,Rain,high,NA,"E. Coli  5 col/1mL, BOD 4.7
ppm",NA,NA,10,7.5,120,10.9,1.1,0.03,60,1,.,14.02,.,.
82,"Hillview
Intermediate:
Gro",2009-05-05,.,clear slow,clear and warm,normal,NA,NA,NA,NA,17,8.6,155,11,.,.,.,.,.,.,.,.
1,"Maplewood
High School",2009-05-11,.,Normal,Sunny,NA,NA,"Hardness: 102.6 Calcium:
34.2 Mg: 68..4",NA,NA,10,7.2,40,10,0.093,0,.,.,.,.,.,.
1,"Maplewood
High School",2009-05-11,.,Normal,Sunny,NA,NA,"Hardness: 34.2 Calcium:
34.2  Mg:0",NA,NA,15,7,40,14,0,0,68,0,.,4.2,.,.
82,"Hillview
Intermediate:
Gro",2009-05-12,.,clear and warm,clear,normal,NA,NA,NA,NA,13,8.55,125,13.5,0.006,.,.,.,.,.,.,.
80,"Fort LeBoeuf
Middle School",2009-05-13,.,slow and clear,no rain,NA,NA,NA,<50,NA,14,8.2,105,9.5,0.2,0.05,119,5,.,12.7,.,.
1,"Maplewood
High School",2009-05-15,.,"Clear and
moderate alg",Clear and warm,normal,NA,NA,NA,normal,15,7.4,40,15,0.6,0,102,40,.,14.3,.,.
1,"Maplewood
High School",2009-05-21,.,clear,Warm and clear,normal,NA,NA,NA,moderate,17,7.4,50,10,0,0.007,136,5,.,4.905,.,.
1,"Maplewood
High School",2009-05-21,.,algal growth,warm,low,NA,"Hardness: 239.4 Calcium:
68.4 Bromthymol Blue",NA,low,17,7.6,50,10,0,0.133,68,5,.,6.795,.,.
2,Bethesda,2009-05-22,.,clear,sunny,normal,NA,NA,NA,NA,17.5,7.6,75,10.5,0,0,153,2.5,.,3.95,.,.
1,"Maplewood
High School",2009-09-04,.,Clear,Clear,NA,NA,Total Hardness: 68.4,NA,NA,15,7.1,50,6,0.14,0.09,68,50,.,21.75,.,.
7,"Allegheny
College",2009-09-17,.,Clear,"Clear, Dry",low,NA,"BOD: 5.2ppm, E.coli:
3coll/mL",NA,NA,17,7.8,190,12.8,0,0,60,0,.,3.44,.,.
82,"Hillview
Intermediate
Cent",2009-09-21,.,Clear,Cloudy,NA,NA,NA,NA,NA,22,7,.,.,0.03,0.014,59.5,5,.,.,.,.
2,Bethesda,2009-09-24,.,Clear,Light Rain,low,NA,NA,NA,normal,20,7.1,120,8,0.03,0.07,143,2.5,.,9.45,.,.
47,"Youngsville
High School",2009-09-24,9:30:00,normal,rain,normal,NA,NA,NA,38.5,15,8.2,130,17,0,0.1,102,5,.,6.2,.,.
85,"Conneaut Lake
Envirothon",2009-09-28,.,"fast, cloudy","Cloudy, Rainy",low,NA,Na,NA,NA,13.5,7.45,165,10.5,0.025,0,110,15,.,6.3,.,.
80,"Fort LeBoeuf
Middle School",2009-09-29,.,"Brown and Fast
Moving","Rain and High
Winds",NA,NA,NA,NA,NA,13.5,8.1,160,10.5,0.0005,0.033,127.5,7.5,.,9.45,.,.
64,"Titusville Middle
School",2009-09-30,.,murky,mild,NA,NA,NA,NA,NA,15,7.8,145,4.5,0.78,0.6735,187,25,.,32.1525,.,.
19,Clymer Central,2009-10-01,.,NA,Heavy Rain,NA,NA,NA,NA,NA,17,7.5,250,7.5,0.26,0.023,102,0,.,7.695,.,.
77,"Linesville High
School",2009-10-01,.,"calm, turbid green","Cool, Calm",normal,NA,NA,NA,NA,14.3,7.4,90,9.67,0.31,0.056,113,4.5,.,9.191,.,.
78,"Linesville High
School",2009-10-01,9:09:00,Calm Turbid,Cool. Sunny,9.79,NA,NA,NA,0.19,13.6,7.2,145,9.5,0.4,0.03,112,.,.,.,.,.
36,"Linesville High
School",2009-10-01,10:48:00,"Clear, Slow","Sunny, Clear, Windy",6.20,NA,NA,NA,0.51,13.2,7.3,130,8.5,0.3,0.04,119,5,.,10.65,.,.
78,"Linesville High
School",2009-10-01,13:51:00,low flow turbid,"Overcast, cool",4.45,NA,NA,NA,0.15,12.5,7.1,105,9.5,0.1,0.006,102,.,.,.,.,.
19,Clymer Central,2009-10-06,8:40:00,High,Heavy Rain,High,NA,"E.Coli 2 col/mL, BOD 2.2
mg/L",NA,NA,11,7.8,120,10.3,0,0.13,60,1,.,7.34,.,.
64,"Titusville Middle
School",2009-10-07,.,NA,"Overcast, rain",NA,NA,NA,NA,NA,16,7.6,250,10.5,0.06,0.034,.,5,.,5.56,.,.
72,"Hermitage
Green Team",2009-10-07,.,NA,"Overcast, Some
Rain",NA,NA,NA,NA,NA,16,7.3,250,10,0.06,0.049,255,5,.,6.935,.,.
72,"Hermitage
Green Team",2009-10-07,.,NA,"Overcast, Some
Rain",NA,NA,NA,NA,NA,16,7.9,250,11,0.06,0.02,340,2.5,.,6.9,.,.
1,"Maplewood
High School",2009-10-08,.,Clear,Rain,high,NA,NA,NA,above ave.,12,7.2,40,9,0,0.09,85,10,.,9.45,.,.
82,"Hillview
Intermediate
Cent",2009-10-19,.,Fast,"Cool, Partly Cloudy",NA,NA,NA,NA,NA,10.3,7.6,100,12.5,0.15,0.0257,68,5,0.5,4.9355,.,.
80,"Fort LeBoeuf
Middle School",2009-10-20,.,"Clear, average
movemen",very cold,NA,NA,NA,NA,NA,8.5,8.5,170,11.5,0,0,153,0,.,9.95,.,.
77,"Linesville High
School",2009-10-20,8:25:00,"calm, turbid","Chilly, Breezy",NA,NA,NA,NA,NA,9.4,7.1,90,10,0.12,0.008,162.83,41.6,.,16.16,.,.
79,"Linesville High
School",2009-10-20,9:00:00,"slow, dirty","sunny, chilly",9.19,NA,NA,NA,0.1,7.7,7,130,9.75,0.1,0.02,268,5,.,9.675,.,.
36,"Linesville High
School",2009-10-20,10:15:00,"Clean, Turbid","Cool, Sunny",30.30,NA,NA,NA,0.16,9.8,7.1,145,10.75,0.17,0.025,136,5,.,9.15,.,.
78,"Linesville High
School",2009-10-20,10:45:00,"still, slightly turbid","sunny, chilly",0.50,NA,NA,NA,0,9,7.2,102.5,11,0.08,0.045,212.5,10,.,8.575,.,.
72,"Hermitage
Green Team",2009-10-21,.,normal,clear skies,normal,NA,NA,<50,NA,10,8.3,100,11,0.55,0.079,144.5,0,.,15.385,.,.
1,"Maplewood
High School",2009-10-22,.,NA,NA,14.30,NA,NA,NA,0.16,.,.,.,.,.,.,.,.,.,.,.,.
1,"Maplewood
High School",2009-10-26,.,Clear,Clear,Normal,NA,NA,NA,NA,14,7.3,35,14,0,.,51,0,.,.,.,.
61,"Saegertown
High School",2009-10-26,1:30:00,"slower than
normal",unseasonably warm,Normal,NA,NA,NA,NA,14,7.8,110,10,.,.,.,.,.,.,.,.
61,"Saegertown
High School",2009-10-26,9:00:00,normal,unseasonably warm,normal,NA,NA,NA,normal to s,12,7.6,110,10,.,.,.,.,.,.,.,.
61,"Saegertown
High School",2009-10-26,10:00:00,normal,unseasonably warm,normal,NA,NA,NA,normal to s,13.25,8,110,9,.,.,.,.,.,.,.,.
72,"Hermitage
Green Team",2009-10-28,3:00:00,Dark brownish,Little rain,NA,NA,NA,NA,NA,18,7.1,170,11,0.02,0.02,102,5,.,7,.,.
72,"Hermitage
Green Team",2009-10-28,3:00:00,Dark brownish,Little rain,NA,NA,NA,NA,NA,15,7.2,170,10,0.02,0.02,107,10,.,7.9,.,.
19,Clymer Central,2009-10-28,6:15:00,High,Heavy Rain,High,NA,"E.Coli 5col/ML, BOD 3.2
mg/L",NA,NA,12,7.5,110,10,1.9,0.04,43,10,.,24.6,.,.
47,"Youngsville
High School",2009-10-29,11:10:00,cloudy,Rainy,NA,NA,NA,NA,0.81,8,5.4,60,15,0,0,136,20,.,20.3,.,.
27,"Allegheny
College",2009-10-30,.,"Slow moving,
clear","Rain, cool",0.08,NA,NA,NA,0.28,11.6,8.3,73.3,9,.,.,139,.,.,.,.,.
